                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                  0.705,                0.43873,                0.87266,                0.95468,                0.90443,                0.95722,                0.73851,                0.87755,                0.49242,                0.85446,             0.00016713,             0.00016713,             0.00016713
                     76,                0.70346,                0.43424,                0.87652,                0.94897,                0.92006,                0.95794,                0.73922,                0.89427,                0.49386,                0.85982,             0.00016094,             0.00016094,             0.00016094
                     77,                0.69197,                0.42994,                0.87099,                0.94914,                0.91152,                0.96143,                0.73764,                0.87858,                0.49216,                0.85682,             0.00015475,             0.00015475,             0.00015475
                     78,                0.70006,                0.43642,                0.87588,                0.95121,                0.90815,                 0.9611,                0.74471,                0.87827,                0.49434,                0.85678,             0.00014856,             0.00014856,             0.00014856
                     79,                0.70154,                0.43544,                0.87503,                0.94444,                0.91778,                0.95811,                0.74339,                0.87564,                0.48715,                0.85896,             0.00014237,             0.00014237,             0.00014237
                     80,                0.69127,                 0.4333,                0.87709,                0.94191,                0.91903,                0.95971,                0.74548,                0.87139,                 0.4873,                0.85618,             0.00013619,             0.00013619,             0.00013619
                     81,                0.68601,                0.42967,                0.87233,                0.94582,                0.90836,                 0.9596,                0.74172,                0.87332,                0.48155,                0.85543,                0.00013,                0.00013,                0.00013
                     82,                0.67984,                0.42711,                0.87416,                0.94337,                0.92279,                0.95927,                0.74092,                 0.8711,                0.48781,                 0.8547,             0.00012381,             0.00012381,             0.00012381
                     83,                0.68191,                0.42012,                0.86904,                0.93954,                 0.9233,                0.95953,                0.73477,                0.87379,                0.48394,                0.85373,             0.00011763,             0.00011763,             0.00011763
                     84,                0.69254,                 0.4277,                0.87481,                0.95168,                0.92026,                0.96068,                 0.7396,                0.86912,                 0.4834,                 0.8559,             0.00011144,             0.00011144,             0.00011144
                     85,                0.66637,                0.42068,                0.86469,                 0.9444,                0.91755,                0.96012,                0.73603,                0.87519,                0.48393,                 0.8547,             0.00010525,             0.00010525,             0.00010525
                     86,                0.67621,                0.41906,                0.86616,                0.94526,                0.92057,                 0.9594,                 0.7355,                0.87674,                0.48978,                0.85669,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.66893,                0.42038,                0.86519,                 0.9432,                0.92038,                0.95818,                0.73817,                 0.8769,                0.48357,                0.85685,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.66699,                0.41756,                0.86847,                0.94594,                 0.9182,                0.95761,                0.74044,                0.87063,                0.48183,                0.85548,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.66667,                0.41797,                0.86331,                0.92418,                0.93551,                0.95937,                0.74309,                0.86915,                0.48045,                0.85507,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.65895,                0.41313,                0.86567,                0.93135,                0.93504,                0.95835,                0.74494,                0.86849,                0.47843,                0.85518,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.62662,                0.37988,                0.84434,                0.93793,                0.92108,                0.96036,                0.74057,                 0.8731,                0.47997,                0.85649,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.61575,                0.37299,                0.84165,                0.94876,                0.92163,                0.96238,                0.74391,                0.87215,                0.47822,                0.85496,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.61218,                0.36955,                0.84251,                0.94943,                0.92098,                0.96219,                0.74231,                0.87178,                 0.4785,                0.85329,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.60816,                0.36885,                 0.8416,                0.94691,                0.92433,                0.96154,                 0.7383,                0.86782,                0.47796,                0.85404,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.60014,                0.36549,                0.83756,                0.94638,                0.92166,                0.95994,                0.74093,                0.86511,                0.47441,                0.85358,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.59717,                0.36507,                0.83884,                0.94532,                0.92444,                0.96176,                0.73845,                0.86615,                0.47564,                 0.8536,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                 0.6009,                0.36661,                0.84083,                0.95054,                0.91783,                0.96084,                0.73798,                0.87128,                0.47666,                0.85391,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.59203,                0.35668,                0.83799,                0.95374,                 0.9112,                0.95944,                0.73933,                0.86974,                0.47646,                0.85417,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.59113,                0.35752,                0.83706,                0.93996,                0.92895,                0.96222,                0.73962,                0.86732,                0.47227,                0.85453,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.58567,                0.36277,                0.83473,                0.95026,                0.91736,                0.96175,                0.74174,                0.86692,                0.47157,                0.85418,             1.2438e-05,             1.2438e-05,             1.2438e-05
